id,pop,ocean
GE-BC029,BC,Indian
GE-BC030,BC,Indian
GE-BC031,BC,Indian
GE-BC032,BC,Indian
GE-BC033,BC,Indian
GE-BC034,BC,Indian
GE-BC037,BC,Indian
GE-BC052,BC,Indian
GE-BC060,BC,Indian
GE-BC068,BC,Indian
GE-BC071,BC,Indian
GE-BC073,BC,Indian
GE-BC076,BC,Indian
GE-BC079,BC,Indian
GE-BC082,BC,Indian
GE-BC084,BC,Indian
GE-BD002,BD,Indian
GE-BD003,BD,Indian
GE-BD004,BD,Indian
GE-BD005,BD,Indian
GE-BD008,BD,Indian
GE-BD014,BD,Indian
GE-BD087,BD,Indian
GE-BD094,BD,Indian
GE-BE001,BE,Indian
GE-BE003,BE,Indian
GE-BE004,BE,Indian
GE-BE005,BE,Indian
GE-BE006,BE,Indian
GE-BE007,BE,Indian
GE-BE008,BE,Indian
GE-BE009,BE,Indian
GE-BE010,BE,Indian
GE-BE011,BE,Indian
GE-BE012,BE,Indian
GE-BE013,BE,Indian
GE-BE014,BE,Indian
GE-BE015,BE,Indian
GE-BE016,BE,Indian
GE-BE017,BE,Indian
GE-BE018,BE,Indian
GE-BE019,BE,Indian
GE-BE020,BE,Indian
GE-BE021,BE,Indian
GE-BE022,BE,Indian
GE-BE023,BE,Indian
GE-BE024,BE,Indian
GE-BE025,BE,Indian
GE-BE026,BE,Indian
GE-BE027,BE,Indian
GE-BE028,BE,Indian
GE-BE029,BE,Indian
GE-BE030,BE,Indian
GE-BE031,BE,Indian
GE-BE032,BE,Indian
GE-BE034,BE,Indian
GE-BE035,BE,Indian
GE-BE036,BE,Indian
GE-BE037,BE,Indian
GE-BE040,BE,Indian
GE-BE041,BE,Indian
GE-BE042,BE,Indian
GE-BE043,BE,Indian
GE-BE044,BE,Indian
GE-BE046,BE,Indian
GE-BE049,BE,Indian
GE-BE050,BE,Indian
GE-BE051,BE,Indian
GE-BE052,BE,Indian
GE-BE053,BE,Indian
GE-BE054,BE,Indian
GE-BE055,BE,Indian
GE-BE056,BE,Indian
GE-BE057,BE,Indian
GE-BE059,BE,Indian
GE-BE060,BE,Indian
GE-BE061,BE,Indian
GE-BE062,BE,Indian
GE-BE063,BE,Indian
GE-BE065,BE,Indian
GE-BE066,BE,Indian
GE-BE068,BE,Indian
GE-BE071,BE,Indian
GE-BE072,BE,Indian
GE-BE073,BE,Indian
GE-BE074,BE,Indian
GE-BE075,BE,Indian
GE-BE076,BE,Indian
GE-BE077,BE,Indian
GE-BE078,BE,Indian
GE-BE079,BE,Indian
GE-BE080,BE,Indian
GE-BE081,BE,Indian
GE-BE082,BE,Indian
GE-BE083,BE,Indian
GE-BE084,BE,Indian
GE-BE085,BE,Indian
GE-BE088,BE,Indian
GE-BE089,BE,Indian
GE-BE090,BE,Indian
GE-BE091,BE,Indian
GE-BE092,BE,Indian
GE-BE093,BE,Indian
GE-BE097,BE,Indian
GE-BE099,BE,Indian
GE-BE100,BE,Indian
GE-FA001,FA,Indian
GE-FA011,FA,Indian
GE-FA015,FA,Indian
GE-FA016,FA,Indian
GE-FA030,FA,Indian
GE-FA031,FA,Indian
GE-FA032,FA,Indian
GE-FA035,FA,Indian
GE-FA050,FA,Indian
GE-FA052,FA,Indian
GE-FA055,FA,Indian
GE-FA056,FA,Indian
GE-FA057,FA,Indian
GE-FA058,FA,Indian
GE-FA059,FA,Indian
GE-FA060,FA,Indian
GE-FA061,FA,Indian
GE-FA062,FA,Indian
GE-FA063,FA,Indian
GE-FA064,FA,Indian
GE-FA067,FA,Indian
GE-FB001,FB,Indian
GE-FB002,FB,Indian
GE-FB003,FB,Indian
GE-FB004,FB,Indian
GE-FB005,FB,Indian
GE-FB008,FB,Indian
GE-FB009,FB,Indian
GE-FB011,FB,Indian
GE-FB012,FB,Indian
GE-FB014,FB,Indian
GE-FB015,FB,Indian
GE-FB016,FB,Indian
GE-FB019,FB,Indian
GE-FB023,FB,Indian
GE-FB025,FB,Indian
GE-FB027,FB,Indian
GE-FB029,FB,Indian
GE-FB030,FB,Indian
GE-FB031,FB,Indian
GE-FB032,FB,Indian
GE-FB033,FB,Indian
GE-FB034,FB,Indian
GE-FB035,FB,Indian
GE-FB037,FB,Indian
GE-FB039,FB,Indian
GE-FB041,FB,Indian
GE-FB042,FB,Indian
GE-FB044,FB,Indian
GE-FB045,FB,Indian
GE-FB046,FB,Indian
GE-FB047,FB,Indian
GE-FB048,FB,Indian
GE-FB050,FB,Indian
GE-FB052,FB,Indian
GE-FB053,FB,Indian
GE-FB054,FB,Indian
GE-FB055,FB,Indian
GE-FB056,FB,Indian
GE-FB060,FB,Indian
GE-FB061,XA,Indian
GE-FB062,FB,Indian
GE-FB064,FB,Indian
GE-FB065,FB,Indian
GE-FB066,FB,Indian
GE-FB069,FB,Indian
GE-FB070,FB,Indian
GE-FB072,FB,Indian
GE-FB074,FB,Indian
GE-FB075,FB,Indian
GE-FB076,FB,Indian
GE-FB077,FB,Indian
GE-FB079,FB,Indian
GE-FB080,FB,Indian
GE-FB081,FB,Indian
GE-FB082,FB,Indian
GE-FB085,FB,Indian
GE-FB086,FB,Indian
GE-FB088,FB,Indian
GE-FB089,FB,Indian
GE-FB090,FB,Indian
GE-FB092,FB,Indian
GE-FB093,FB,Indian
GE-FB094,FB,Indian
GE-FB097,FB,Indian
GE-FB100,FB,Indian
GE-GL001,GL,Indian
GE-GL007,GL,Indian
GE-GL008,GL,Indian
GE-GL015,GL,Indian
GE-GL020,GL,Indian
GE-GL021,GL,Indian
GE-GL032,GL,Indian
GE-GL033,GL,Indian
GE-GL037,GL,Indian
GE-GL044,GL,Indian
GE-GL046,GL,Indian
GE-GL053,GL,Indian
GE-GL054,GL,Indian
GE-GL056,GL,Indian
GE-GL060,GL,Indian
GE-GL064,GL,Indian
GE-GL067,GL,Indian
GE-GL071,GL,Indian
GE-GL074,GL,Indian
GE-GL081,GL,Indian
GE-GL082,GL,Indian
GE-GL088,GL,Indian
GE-GL089,GL,Indian
GE-GL090,GL,Indian
GE-GL093,GL,Indian
GE-GL098,GL,Indian
GE-GL099,GL,Indian
GE-GL101,GL,Indian
GE-GL102,GL,Indian
GE-GL106,GL,Indian
GE-GL107,GL,Indian
GE-GL108,GL,Indian
GE-IA001,IA,Indian
GE-IA002,IA,Indian
GE-IA003,IA,Indian
GE-IA004,IA,Indian
GE-IA005,IA,Indian
GE-IA006,IA,Indian
GE-IA007,IA,Indian
GE-IA008,IA,Indian
GE-IA009,IA,Indian
GE-IA010,IA,Indian
GE-IA011,IA,Indian
GE-IA012,IA,Indian
GE-IA013,IA,Indian
GE-IA014,IA,Indian
GE-IA015,IA,Indian
GE-IA016,IA,Indian
GE-IA017,IA,Indian
GE-IA018,IA,Indian
GE-IA019,IA,Indian
GE-IA020,IA,Indian
GE-IA021,IA,Indian
GE-IA022,IA,Indian
GE-IA023,IA,Indian
GE-IA024,IA,Indian
GE-IA025,IA,Indian
GE-IA026,IA,Indian
GE-IA027,IA,Indian
